Bin_ID,Date,Space,waste_category,weight
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,paper,1.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,plastic,3.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,glass,17.1
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,metal,4.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,organic,3.4
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,other,0.6
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,paper,1
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,plastic,2.5
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,glass,18.3
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,metal,3.5
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,organic,2.7
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,other,2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,paper,1.1
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,plastic,5.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,glass,16.6
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,metal,2.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,organic,4.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,other,0.7
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,paper,2.3
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,plastic,2.6
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,glass,19.1
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,metal,0.4
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,organic,3.2
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,other,2.4
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,paper,0.6
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,plastic,3.3
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,glass,15.7
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,metal,2.5
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,organic,5
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,other,2.9
LW_01,2024-03-21T00:00:00Z,Landiwiese,paper,3.1
LW_01,2024-03-21T00:00:00Z,Landiwiese,plastic,3.3
LW_01,2024-03-21T00:00:00Z,Landiwiese,glass,10.1
LW_01,2024-03-21T00:00:00Z,Landiwiese,metal,4.3
LW_01,2024-03-21T00:00:00Z,Landiwiese,organic,8.6
LW_01,2024-03-21T00:00:00Z,Landiwiese,other,0.6
LW_02,2024-03-21T00:00:00Z,Landiwiese,paper,2.8
